date,complete,articles,war_articles,acts,threats,energy,peace,risk_balance,attention,attention_change,risk_change,news_innovation,macro
2026-03-06,True,17,8,5,1,1,0,38.23529411764706,2.1972245773362196,-0.2006706954621511,4.901960784313722,0.2006706954621511,True
2026-03-09,True,36,19,9,3,2,0,33.333333333333336,2.995732273553991,0.7985076962177713,-4.901960784313722,0.7985076962177713,False
2026-03-10,True,18,12,4,5,4,0,45.833333333333336,2.5649493574615367,-0.4307829160924541,12.5,0.4307829160924541,False
2026-03-11,True,23,11,6,1,4,0,35.869565217391305,2.4849066497880004,-0.08004270767353638,-9.963768115942031,0.08004270767353638,True
2026-03-12,True,16,8,5,0,0,1,29.6875,2.1972245773362196,-0.2876820724517808,-6.182065217391305,0.2876820724517808,False
2026-03-13,True,8,2,1,1,0,0,18.75,1.0986122886681098,-1.0986122886681098,-10.9375,1.0986122886681098,False
2026-03-16,True,40,21,6,6,5,0,30.625,3.091042453358316,1.9924301646902063,11.875,1.9924301646902063,False
2026-03-17,True,9,3,0,0,1,2,-8.333333333333334,1.3862943611198906,-1.7047480922384255,-38.958333333333336,1.7047480922384255,False
2026-03-18,True,11,5,3,1,1,1,31.818181818181817,1.791759469228055,0.4054651081081644,40.15151515151515,0.4054651081081644,True
2026-03-19,True,9,6,2,1,0,1,22.22222222222222,1.9459101490553132,0.15415067982725827,-9.595959595959595,0.15415067982725827,False
2026-03-20,True,3,2,1,2,0,0,50.0,1.0986122886681098,-0.8472978603872034,27.77777777777778,0.8472978603872034,False
2026-03-23,True,21,16,8,3,4,2,47.61904761904762,2.833213344056216,1.7346010553881064,-2.3809523809523796,1.7346010553881064,False
2026-03-24,True,7,4,1,0,2,2,10.714285714285714,1.6094379124341003,-1.2237754316221159,-36.904761904761905,1.2237754316221159,False
2026-03-25,True,6,2,0,0,0,1,-8.333333333333334,1.0986122886681098,-0.5108256237659905,-19.047619047619047,0.5108256237659905,False
2026-03-26,True,7,4,2,0,2,1,28.571428571428573,1.6094379124341003,0.5108256237659905,36.904761904761905,0.5108256237659905,False
2026-03-27,True,9,6,3,1,1,1,38.888888888888886,1.9459101490553132,0.33647223662121295,10.317460317460313,0.33647223662121295,False
2026-03-30,True,18,6,1,1,2,1,15.277777777777779,1.9459101490553132,0.0,-23.611111111111107,0.0,False
2026-03-31,True,7,4,3,0,2,0,46.42857142857143,1.6094379124341003,-0.33647223662121295,31.150793650793652,0.33647223662121295,False
2026-04-01,True,6,3,2,0,0,0,37.5,1.3862943611198906,-0.2231435513142097,-8.92857142857143,0.2231435513142097,False
2026-04-02,True,12,6,1,2,3,1,25.0,1.9459101490553132,0.5596157879354227,-12.5,0.5596157879354227,False
2026-04-06,True,25,10,3,3,2,1,23.0,2.3978952727983707,0.45198512374305744,-2.0,0.45198512374305744,True
2026-04-07,True,8,4,3,3,1,0,43.75,1.6094379124341003,-0.7884573603642704,20.75,0.7884573603642704,False
2026-04-08,True,18,14,0,2,4,9,-13.88888888888889,2.70805020110221,1.0986122886681098,-57.638888888888886,1.0986122886681098,False
2026-04-09,True,11,4,1,1,0,3,-9.090909090909092,1.6094379124341003,-1.0986122886681098,4.797979797979798,1.0986122886681098,False
2026-04-10,True,7,5,0,2,0,1,10.714285714285714,1.791759469228055,0.18232155679395468,19.805194805194805,0.18232155679395468,True
2026-04-13,True,11,8,2,2,4,2,29.545454545454547,2.1972245773362196,0.4054651081081646,18.83116883116883,0.4054651081081646,False
2026-04-14,True,2,0,0,0,0,0,0.0,0.0,-2.1972245773362196,-29.545454545454547,2.1972245773362196,False
2026-04-15,True,4,1,0,0,0,1,-18.75,0.6931471805599453,0.6931471805599453,-18.75,0.6931471805599453,False
2026-04-16,True,4,1,0,0,1,0,18.75,0.6931471805599453,0.0,37.5,0.0,False
2026-04-17,True,5,3,0,0,0,1,-5.0,1.3862943611198906,0.6931471805599453,-23.75,0.6931471805599453,False
2026-04-20,True,11,6,2,1,1,2,15.909090909090908,1.9459101490553132,0.5596157879354227,20.909090909090907,0.5596157879354227,False
2026-04-21,True,5,5,0,0,0,5,-75.0,1.791759469228055,-0.15415067982725827,-90.9090909090909,0.15415067982725827,False
2026-04-22,True,5,4,2,0,2,2,40.0,1.6094379124341003,-0.18232155679395468,115.0,0.18232155679395468,False
2026-04-23,True,6,3,1,1,1,0,37.5,1.3862943611198906,-0.2231435513142097,-2.5,0.2231435513142097,False
