series,variable,unit,pairs,e1_beta,e2_beta,e3_beta,e1_effect_minus25bp,e2_effect_minus25bp,e3_effect_minus25bp,e1_robust_se_effect,e2_robust_se_effect,e3_robust_se_effect,e1_robust_p,e2_robust_p,e3_robust_p,e1_block_ci_lo,e1_block_ci_hi,centered_e1_effect,delta_anchor_second_moment,delta_anchor_ci_lo,delta_anchor_ci_hi,bootstrap_prob_positive_anchor_shift,first_stage_robust_F_z1,AR_zero_p,AR_effect_confidence_set,relative_rank1_residual,specification
DGS10,US 10-year yield,bp,17,1.1049382716049383,1.0111731843575325,0.9962952539403891,-27.623456790123456,-25.279329608938312,-24.907381348509727,21.549420530314332,10.413097963035089,9.935627022711914,0.19988986368507855,0.015197112400981134,0.012180355750265619,-240.25781249997425,140.77105263158242,-27.17509025270759,9.529411764705948,-8.952941176470523,25.452941176470684,0.8045112781954887,0.39875725795948935,0.1313832913388665,"[-inf, +inf]",0.09272900893528072,wartime
T10YIE,US 10-year breakeven,bp,17,0.36419753086419654,0.8813559322033807,0.5318679065861417,-9.104938271604913,-22.033898305084517,-13.296697664653543,11.634131197716442,17.4433914064488,12.38144021417902,0.43385864872121194,0.20652954221352138,0.28285776424843556,-47.89446002804913,84.95441795232051,-9.052346570397086,9.529411764705948,-8.602941176470509,32.4500000000001,0.8320802005012531,0.39875725795948935,0.2159908118361219,"[-inf, +inf]",0.5867758784425419,wartime
SP500,S&P 500,%,17,-0.12123405160103035,-0.41591515013577496,-0.16805971002675765,3.0308512900257587,10.397878753394373,4.201492750668941,3.091098039025367,11.164194074099571,4.100726190523318,0.3268346351158078,0.3516676081593396,0.30556477703887763,-24.573932944100086,27.78843679148743,2.87113418362353,9.529411764705948,-7.352941176470527,29.891176470588306,0.7794486215538847,0.39875725795948935,0.3889372099256473,"[-inf, +inf]",0.7085125378061999,wartime
BAMLC0A4CBBB,US BBB OAS,bp,17,-0.25308641975308593,-1.7492782290435308e-15,-0.10057383760666516,6.327160493827148,4.373195572608827e-14,2.514345940166629,13.646920510024007,8.49291968120982,4.162859237357768,0.6429108228030576,0.9999999999999959,0.5458470023270945,-71.30461747759628,42.50321579903019,6.1823104693140705,9.529411764705948,-9.470588235293915,31.217647058823598,0.8145363408521303,0.39875725795948935,0.4554734552257951,"[-inf, +inf]",610384894698.6179,wartime
BAMLH0A0HYM2,US high-yield OAS,bp,17,0.06790123456789153,16.000000000002334,0.01137201655010226,-1.6975308641972882,-400.0000000000584,-0.2843004137525565,20.761714498062084,4919.85562174916,20.896741907122955,0.9348355315621191,0.9352008300884982,0.9891451062503641,-267.65151515151234,222.60714285712254,-1.976534296028656,9.529411764705948,-10.90882352941164,30.544117647058936,0.7944862155388471,0.39875725795948935,0.9489132935560657,"[-inf, +inf]",0.9957561728395075,wartime
DCOILBRENTEU,Brent spot (oil proxy),USD/bbl,16,1.463893805309732,1.9736095998065466,1.8586154052200452,-36.5973451327433,-49.340239995163664,-46.46538513050113,53.74501070545522,48.45212865266828,46.31762848757452,0.4959068952164445,0.3085213146462271,0.3157691614597766,-248.52084790208087,247.44687499999088,-34.369718309859095,7.062500000000046,-11.07500000000003,27.00312500000009,0.7368421052631579,0.19547979915665736,0.1839426156997236,"[-inf, +inf]",0.25826576570501947,wartime
GLD,Gold ETF GLD (gold proxy),%,17,-0.004100889222702555,23.184934615301277,-0.10300387056991321,0.10252223056756388,-579.6233653825319,2.57509676424783,8.260507293317403,47581.662516112556,8.168454865945561,0.9900976051465729,0.9902806864620912,0.7525726472951614,-141.92776309530194,84.02065331510212,0.35236964834031376,9.529411764705948,-8.78529411764701,30.491176470588304,0.8245614035087719,0.39875725795948935,0.9930361137446736,"[-inf, +inf]",1.00017687732533,wartime
DTWEXBGS,Broad US dollar,%,17,0.08481465554354839,0.02016746071425872,0.04117138643699634,-2.12036638858871,-0.504186517856468,-1.0292846609249084,2.644808439224165,2.5780381347373442,1.760795306914913,0.4227213829602753,0.8449468648378471,0.5588458423669259,-20.146594190738295,13.966769658977645,-2.1503355898185954,9.529411764705948,-7.64999999999989,33.84411764705908,0.8421052631578947,0.39875725795948935,0.008007823296673879,"[-inf, -0.48] U [1.11, +inf]",3.2055198096200117,wartime
DGS10,US 10-year yield,bp,17,1.211538461538461,0.9365079365079335,0.8452657066671272,-30.288461538461526,-23.412698412698337,-21.13164266667818,24.992095420758695,8.103994957963764,7.824273869847831,0.22554237352274975,0.0038643010342251528,0.006917707299504598,-112.7083333333318,170.31250000000776,-29.541734860883807,9.176470588235343,-13.091176470588232,32.132352941176606,0.7568922305764411,0.4111580503114686,0.14706870148702125,"[-inf, +inf]",0.2936766623207336,exclude_opening_week
T10YIE,US 10-year breakeven,bp,17,0.2884615384615343,0.6666666666666643,0.35376891528778875,-7.211538461538357,-16.666666666666607,-8.84422288219472,9.927142221854059,17.55063222103487,10.369248633945482,0.4675650480777749,0.34229855772327633,0.39369921262514374,-65.60721062618589,38.815559440558445,-5.042962356792044,9.176470588235343,-12.241176470588213,33.194117647058995,0.7844611528822055,0.4111580503114686,0.2780956921537363,"[-inf, +inf]",0.5673076923076972,exclude_opening_week
SP500,S&P 500,%,17,-0.1300755481583416,-0.37537527146783845,-0.18584246320657227,3.25188870395854,9.384381786695961,4.646061580164307,3.0565067311641947,10.275853672678625,4.102257328436283,0.28736345043603306,0.36111320020834226,0.2573981505200793,-6.7712162290502,19.137801777448836,2.3424968301362767,9.176470588235343,-11.152941176470575,31.77058823529423,0.7894736842105263,0.4111580503114686,0.3604749561739893,"[-inf, +inf]",0.6534786437857127,exclude_opening_week
BAMLC0A4CBBB,US BBB OAS,bp,17,-0.2948717948717934,0.043478260869564474,-0.08402957584817121,7.371794871794835,-1.086956521739112,2.1007393962042804,15.29246243871463,7.712413470254193,4.2840120827436445,0.6297674847555123,0.8879205208454704,0.6238740185934275,-68.22482638889039,73.61874999999338,7.896890343698806,9.176470588235343,-14.544117647058746,30.07647058823538,0.7894736842105263,0.4111580503114686,0.322580515183459,"[-inf, -10.25] U [-3.16, +inf]",7.782051282051363,exclude_opening_week
BAMLH0A0HYM2,US high-yield OAS,bp,17,-0.10256410256410707,-12.249999999999476,-0.45714120009075715,2.5641025641026767,306.2499999999869,11.428530002268928,22.843769899822487,2663.495460639346,29.75761835953261,0.9106290243888953,0.9084605901154644,0.7009384832559757,-225.156250000009,97.80058651026742,6.505728314239055,9.176470588235343,-12.002941176470534,33.826470588235324,0.7919799498746867,0.4111580503114686,0.9070288879004819,"[-inf, +inf]",0.9916274201988481,exclude_opening_week
DCOILBRENTEU,Brent spot (oil proxy),USD/bbl,16,1.010093457943924,2.885585677276089,1.7503339266362206,-25.2523364485981,-72.13964193190222,-43.75834816590552,33.72938125086259,91.5207871083117,57.14403534358949,0.4540532594121368,0.4305608300957158,0.4438219134199116,-159.77796215881037,149.80325520833406,-19.787592440427268,6.687500000000025,-15.212499999999894,29.07187500000002,0.7343358395989975,0.16496834566527938,0.4533185047375876,"[-inf, +inf]",0.6499520128969368,exclude_opening_week
GLD,Gold ETF GLD (gold proxy),%,17,-0.11361278540094444,0.06686202674942517,-0.12465744821091189,2.840319635023611,-1.6715506687356292,3.116436205272797,6.777439806107704,44.1785370410049,6.57550298047602,0.6751544145339494,0.9698182327713916,0.6355381040609994,-62.5190576822121,39.953945365717175,3.053975988565948,9.176470588235343,-13.132352941176444,30.002941176470724,0.7769423558897243,0.4111580503114686,0.7725935075322679,"[-inf, +inf]",2.6992124068677175,exclude_opening_week
DTWEXBGS,Broad US dollar,%,17,0.04389257020468156,0.0916519043108731,0.05090781822099296,-1.097314255117039,-2.2912976077718272,-1.272695455524824,1.3153496673333298,4.829352103933822,1.567169616375382,0.40414706184388494,0.6351773470560287,0.41673534784212907,-6.574186012963323,4.457623401311598,-1.0293111954135545,9.176470588235343,-13.673529411764658,31.514705882353038,0.7919799498746867,0.4111580503114686,0.26692962075464965,"[-inf, +inf]",0.5210948366571542,exclude_opening_week
